"id","month","week","price","cost","profit","catid","title"@
"20180726090450","2018-09","201835","78","34.5","43.5","551","Vintage Phil Austin Ice Fishermen Devils Lake Michigan Watercolor Painting"
"20180730104955","2018-09","201834","10.49","69","-58.51","360","Antique 18th C Fabio Berardi Italian Seaside Scene Etching after Zuccarelli "
"20180730094220","2018-09","201834","23.97","34.5","-10.530000000000001","360","Antique 19th C Nuremberg Henkersteg Bridge Cityscape Hand Colored Lithograph"
"20180807152117","2018-09","201835","89","69","20","592","Antique Rockingham Glazed Yellowware Stoneware SALT Cellar Keeper Crock Jar"
"20180731090728","2018-09","201834","46","42.17","3.8299999999999983","360","Antique 18th C Samuel & Nathaniel Buck Kenilworth-Castle British Etching #1"
"20180816145716","2018-09","201835","281","165.9305","115.0695","29223","HAND SIGNED 1945 Marc Chagall Edition 175 / 1500 Illustrated Hard Cover Book"
"20180815120220","2018-09","201835","0.99","11.5","-10.51","162986","VTG Thai Carved Wood Toy Model Royal Barge Dragon Boat 20 Man Oared Bangkok "
"20180816110942","2018-09","201835","91","46","45","152537","Antique Schumann NY Sterling Silver & Wood Gentleman's Walking Stick Cane 1"
"20180814113129","2018-09","201834","167.5","89.403125","78.096875","29442","Vintage African Guro Tribe Carved & Painted Wood Face Mask C̫te d'Ivoire #31"
"20180822113118","2018-09","201835","332.77","74.67","258.09999999999997","10292","Estate Vintage 1950's Southwest Americana Bennett Coral Silver Bolo Tie #1"
"20180822111707","2018-09","201835","228.5","74.67","153.82999999999998","10292","Estate! Vintage Native American Indian Zuni Inlaid Eagle Figural Bolo Tie #2"
"20150402152416","2018-09","201835","83","22.57","60.43","551","Original Acrylic/Board Painting Portrait ARNOLD WOOD Titled Madame Cezanne"
"20150402152416","2018-09","201835","83","41.5","41.5","551","Original Acrylic/Board Painting Portrait ARNOLD WOOD Titled Madame Cezanne"
"20180814100630","2018-09","201835","32.25","11.5","20.75","830","18 Antique/Vintage Allis Chalmers Tractor Farm Implement Photo Post Cards NR"
"20180820135318","2018-09","201835","65","50","15","2592","1955 Pontiac Star Chief Hardtop Promotional Promo Jo Han Dealer Model Car"
"20180821135807","2018-09","201835","73","88","-15","1211","Antique HUBLEY Painted Cast Iron Urn/Vase of Flowers 316 Figural Doorstop 12"
"20180821120416","2018-09","201835","26","38","-12","180507","Rare! Vintage Tri-Ang Minic Fire Fighter Engine Ladder Truck ORIGINAL Box NR"
"20180821131514","2018-09","201835","243.5","56.5","187","158799","Vintage 1930's WYANDOTTE Pressed Steel Toy Sedan Car Coup Rumble Seat Red #1"
"20180823113325","2018-09","201835","147.5","21","126.5","35","Antique Golden Grain Alfalfa Feed St Louis Advertising Iron Corn Paperweight"
"20180822113243","2018-09","201835","42.01","22.4","19.61","98496","Estate! Vintage Amethyst & Lapis Lazuli Gemstone Sterling Ladies Necklace NR"
"20180521120553","2018-09","201835","288","11.5","276.5","37917","Antique 19th c Peter Ipsen Neoclassical Relief Cupid & Venus Ceramic Tile NR"
"20180821160554","2018-09","201835","202.5","25","177.5","74986","Vintage 1950's Bandai Windup PILOT Tin Litho Tinplate Speed Boat Toy Japan"
"20180821142613","2018-09","201835","32","30.24","1.7600000000000016","98489","Estate! Vintage Mexican Silver & Green Malachite Inlay Modernist Bracelet #1"
"20180821145317","2018-09","201835","157.5","72.8","84.7","67726","Estate! Vintage 14K Yellow Gold Diamond & Pearl Ladies Ring Size 6.5 NR"
"20180821144941","2018-09","201835","97","84","13","67726","Estate! Vintage 14K Yellow Gold Diamond & Pink Sapphire Ladies Ring Size 6"
"20180821105251","2018-09","201835","87","12.5","74.5","158799","Vintage French Joyax Pompiers Tinplate Wind Up Fire Jeep Vehicle ORIG Box #2"
"20180821104429","2018-09","201835","131.5","100","31.5","158799","Antique Charles Rossignol CR France Tin Litho Fire Ladder Truck Toy & Riders"
